"","stock.id","species","stock","region","useflag","broodyear","spawners","r2","r3","r4","r5","r6","r7","recruits","logR_S"
"1",101,"Coho","Buskin River","Westward",1,1989,9356,0,2488,8774,648,0,NA,11910,0.241360534645276
"2",101,"Coho","Buskin River","Westward",1,1990,6039,0,2183,8158,299,0,NA,10640,0.566382048587734
"3",101,"Coho","Buskin River","Westward",1,1991,8434,0,3660,8938,1093,69,NA,13760,0.48949467718083
"4",101,"Coho","Buskin River","Westward",1,1992,6358,0,2804,8215,1517,0,NA,12536,0.678890642565109
"5",101,"Coho","Buskin River","Westward",1,1993,6318,37,2578,10208,1320,88,NA,14231,0.81201998132163
"6",101,"Coho","Buskin River","Westward",1,1994,7855,0,3035,9184,2569,0,NA,14788,0.632665769366801
"7",101,"Coho","Buskin River","Westward",1,1995,8438,0,2310,9123,1077,0,NA,12510,0.393783010776673
"8",101,"Coho","Buskin River","Westward",1,1996,8141,0,2347,8773,84,0,NA,11204,0.319357834806021
"9",101,"Coho","Buskin River","Westward",1,1997,10582,0,2193,8568,422,0,NA,11183,0.0552403235641112
"10",101,"Coho","Buskin River","Westward",1,1998,8742,0,8316,11688,1375,0,NA,21379,0.894270135377148
"11",101,"Coho","Buskin River","Westward",1,1999,9383,0,2253,11935,2137,0,NA,16325,0.553798133854582
"12",101,"Coho","Buskin River","Westward",1,2000,7737,0,3994,9653,1325,0,NA,14972,0.660167774474865
"13",101,"Coho","Buskin River","Westward",1,2001,13214,0,3624,14969,1135,0,NA,19728,0.400762072814295
"14",101,"Coho","Buskin River","Westward",1,2002,10349,38,5299,15228,141,0,NA,20706,0.693533616657885
"15",101,"Coho","Buskin River","Westward",1,2003,12754,66,5094,11954,258,0,NA,17372,0.309014766779496
"16",101,"Coho","Buskin River","Westward",1,2004,9016,0,3375,9217,705,0,NA,13297,0.388537669137094
"17",101,"Coho","Buskin River","Westward",1,2005,16235,70,4125,12782,185,0,NA,17162,0.0555282318301199
"18",101,"Coho","Buskin River","Westward",1,2006,12560,0,2315,7726,1047,0,NA,11088,-0.124653718592505
"19",101,"Coho","Buskin River","Westward",1,2007,8375,0,1854,6805,190,91,NA,8940,0.0652845114742926
"20",101,"Coho","Buskin River","Westward",1,2008,8176,0,1570,7253,273,0,NA,9096,0.106631722986886
"21",101,"Coho","Buskin River","Westward",1,2009,9583,0,382,8931,223,0,NA,9536,-0.00491658503863123
"22",101,"Coho","Buskin River","Westward",1,2010,6239,0,1550,11810,960,0,NA,14320,0.83083724840385
"23",101,"Coho","Buskin River","Westward",0,2011,5298,0,1671,NA,NA,NA,NA,1671,-1.15390714123662
"24",101,"Coho","Buskin River","Westward",0,2012,4906,0,NA,NA,NA,NA,NA,0,-Inf
"57",104,"Coho","Berners River","Southeast",0,1979,3460,NA,8886,22102,670,135,NA,31793,2.2179775506991
"58",104,"Coho","Berners River","Southeast",1,1982,7505,NA,8172,17483,278,0,NA,25933,1.23994682387777
"59",104,"Coho","Berners River","Southeast",1,1983,9840,NA,5298,12086,95,0,NA,17479,0.574544449288787
"60",104,"Coho","Berners River","Southeast",1,1984,2825,NA,1694,7281,625,0,NA,9600,1.22325473387539
"61",104,"Coho","Berners River","Southeast",1,1985,6169,NA,7596,13259,506,0,NA,21361,1.24203007924804
"62",104,"Coho","Berners River","Southeast",1,1986,1752,NA,5804,15245,424,0,NA,21473,2.5060383394708
"65",104,"Coho","Berners River","Southeast",1,1989,10819,NA,24843,34753,0,NA,NA,59596,1.70628461001966
"66",104,"Coho","Berners River","Southeast",1,1990,15074,NA,18633,41792,66,NA,NA,60491,1.38952318821902
"67",104,"Coho","Berners River","Southeast",1,1991,11243,NA,35417,14509,0,NA,NA,49926,1.49079619637873
"68",104,"Coho","Berners River","Southeast",1,1992,22011,NA,15433,9670,46,NA,NA,25149,0.133275805923863
"69",104,"Coho","Berners River","Southeast",1,1993,17145,NA,15443,10061,50,NA,NA,25554,0.399087274254248
"70",104,"Coho","Berners River","Southeast",1,1994,24014,NA,7602,16268,147,NA,NA,24017,0.000124919323099679
"71",104,"Coho","Berners River","Southeast",1,1995,5038,NA,8460,22045,46,NA,NA,30551,1.80238824037569
"72",104,"Coho","Berners River","Southeast",1,1996,7361,NA,13345,16596,72,NA,NA,30013,1.40543482805715
"73",104,"Coho","Berners River","Southeast",1,1997,15528,NA,7391,21596,0,NA,NA,28987,0.624202607752034
"74",104,"Coho","Berners River","Southeast",1,1998,9580,NA,15138,29189,71,NA,NA,44398,1.53351683139581
"75",104,"Coho","Berners River","Southeast",1,1999,9302,NA,27311,23344,141,NA,NA,50796,1.69758818052488
"76",104,"Coho","Berners River","Southeast",1,2000,14389,NA,8135,17695,0,NA,NA,25830,0.585072581326469
"77",104,"Coho","Berners River","Southeast",1,2001,22929,NA,18823,3966,34,NA,NA,22823,-0.00463368550711648
"78",104,"Coho","Berners River","Southeast",1,2002,41089,NA,10051,6937,0,NA,NA,16988,-0.883233233326537
"79",104,"Coho","Berners River","Southeast",1,2003,13004,NA,10170,1854,0,NA,NA,12024,-0.0783523499909855
"80",104,"Coho","Berners River","Southeast",1,2004,21477,NA,7812,5147,20,NA,NA,12979,-0.503649928376536
"81",104,"Coho","Berners River","Southeast",1,2005,4926,NA,10877,1990,0,NA,NA,12867,0.960138594504507
"82",104,"Coho","Berners River","Southeast",1,2006,8918,NA,8329,5682,0,NA,NA,14011,0.451771029183809
"83",104,"Coho","Berners River","Southeast",1,2007,3952,NA,17949,2419,42,NA,NA,20410,1.64180319693613
"84",104,"Coho","Berners River","Southeast",1,2008,11764,NA,11069,2754,131,NA,NA,13954,0.170722184825296
"85",104,"Coho","Berners River","Southeast",1,2009,4059,NA,7056,7498,0,NA,NA,14554,1.27692923206813
"86",104,"Coho","Berners River","Southeast",1,2010,9781,NA,14953,11039,69,NA,NA,26061,0.979998215637537
"108",107,"Coho","Akwe River","Southeast",1,1972,7000,NA,2025,4535,3145,NA,NA,9705,0.32673106756566
"109",107,"Coho","Akwe River","Southeast",1,1973,3000,NA,2536,23193,2278,NA,NA,28007,2.2338421902623
"110",107,"Coho","Akwe River","Southeast",1,1974,5000,NA,12973,16801,1509,NA,NA,31283,1.83363690657253
"111",107,"Coho","Akwe River","Southeast",1,1975,2200,NA,9397,11130,1608,NA,NA,22135,2.30870270581983
"112",107,"Coho","Akwe River","Southeast",1,1976,1500,NA,6225,11859,1392,NA,NA,19476,2.56371783021229
"113",107,"Coho","Akwe River","Southeast",1,1977,15000,NA,6633,10268,799,NA,NA,17700,0.165514438477573
"114",107,"Coho","Akwe River","Southeast",1,1978,7000,NA,5743,13316,208,NA,NA,19267,1.01248363884331
"115",107,"Coho","Akwe River","Southeast",1,1979,3000,NA,12517,11027,0,NA,NA,23544,2.06025872226306
"116",107,"Coho","Akwe River","Southeast",1,1980,5000,NA,9571,11491,1451,NA,NA,22513,1.50465500770474
"117",107,"Coho","Akwe River","Southeast",1,1981,5000,NA,6187,6891,1941,NA,NA,15019,1.09987815378934
"118",107,"Coho","Akwe River","Southeast",1,1982,3000,NA,3748,14313,3852,NA,NA,21913,1.98846777934516
"119",107,"Coho","Akwe River","Southeast",1,1983,6000,NA,8005,10856,3566,NA,NA,22427,1.3185061209161
"120",107,"Coho","Akwe River","Southeast",1,1984,2800,NA,2801,14771,1492,NA,NA,19064,1.91818232261528
"121",107,"Coho","Akwe River","Southeast",1,1985,2400,NA,7131,12679,793,NA,NA,20603,2.14996795890642
"122",107,"Coho","Akwe River","Southeast",1,1986,5900,NA,4475,8560,359,NA,NA,13394,0.819854494576185
"128",107,"Coho","Akwe River","Southeast",1,1972,28000,NA,4203,7190,6745,NA,NA,18138,-0.434195325149828
"129",107,"Coho","Akwe River","Southeast",1,1973,12000,NA,4021,49743,3958,NA,NA,57722,1.57073173355202
"130",107,"Coho","Akwe River","Southeast",1,1974,20000,NA,27823,29191,2229,NA,NA,59243,1.08591535602185
"131",107,"Coho","Akwe River","Southeast",1,1975,8800,NA,16327,16440,2808,NA,NA,35575,1.39689142249176
"132",107,"Coho","Akwe River","Southeast",1,1976,6000,NA,9195,20709,2592,NA,NA,32496,1.68935753560997
"133",107,"Coho","Akwe River","Southeast",1,1977,60000,NA,11583,19118,1069,NA,NA,31770,-0.635822113940676
"134",107,"Coho","Akwe River","Southeast",1,1978,28000,NA,10693,17816,388,NA,NA,28897,0.0315332733265695
"135",107,"Coho","Akwe River","Southeast",1,1979,12000,NA,16747,20567,0,NA,NA,37314,1.13446194156181
"136",107,"Coho","Akwe River","Southeast",1,1980,20000,NA,17851,16951,2315,NA,NA,37117,0.618342812132463
"137",107,"Coho","Akwe River","Southeast",1,1981,20000,NA,9127,10995,3356,NA,NA,23478,0.160331538902339
"138",107,"Coho","Akwe River","Southeast",1,1982,12000,NA,5980,24750,7086,NA,NA,37816,1.14782564370294
"139",107,"Coho","Akwe River","Southeast",1,1983,24000,NA,13843,19970,5624,NA,NA,39437,0.496650631584685
"140",107,"Coho","Akwe River","Southeast",1,1984,11200,NA,5153,23297,2668,NA,NA,31118,1.02187265159172
"141",107,"Coho","Akwe River","Southeast",1,1985,9600,NA,11247,22675,1528,NA,NA,35450,1.30636015450435
"142",107,"Coho","Akwe River","Southeast",1,1986,23600,NA,8003,16498,800,NA,NA,25301,0.0695972086124902
"148",107,"Coho","Akwe River","Southeast",1,1972,14000,NA,2751,5420,4345,NA,NA,12516,-0.112049503808623
"149",107,"Coho","Akwe River","Southeast",1,1973,6000,NA,3031,32043,2838,NA,NA,37912,1.84350821543723
"150",107,"Coho","Akwe River","Southeast",1,1974,10000,NA,17923,20931,1749,NA,NA,40603,1.40125686250941
"151",107,"Coho","Akwe River","Southeast",1,1975,4400,NA,11707,12900,2008,NA,NA,26615,1.79987042570051
"152",107,"Coho","Akwe River","Southeast",1,1976,3000,NA,7215,14809,1792,NA,NA,23816,2.07174533504537
"153",107,"Coho","Akwe River","Southeast",1,1977,30000,NA,8283,13218,889,NA,NA,22390,-0.292582951051492
"154",107,"Coho","Akwe River","Southeast",1,1978,14000,NA,7393,14816,268,NA,NA,22477,0.473435234547432
"155",107,"Coho","Akwe River","Southeast",1,1979,6000,NA,13927,14207,0,NA,NA,28134,1.54521934010745
"156",107,"Coho","Akwe River","Southeast",1,1980,10000,NA,12331,13311,1739,NA,NA,27381,1.0072642492088
"157",107,"Coho","Akwe River","Southeast",1,1981,10000,NA,7167,8259,2413,NA,NA,17839,0.578801978775085
"158",107,"Coho","Akwe River","Southeast",1,1982,6000,NA,4492,17794,4930,NA,NA,27216,1.51204556642545
"159",107,"Coho","Akwe River","Southeast",1,1983,12000,NA,9952,13894,4252,NA,NA,28098,0.850791749641459
"160",107,"Coho","Akwe River","Southeast",1,1984,5600,NA,3585,17613,1884,NA,NA,23082,1.41628649525711
"161",107,"Coho","Akwe River","Southeast",1,1985,4800,NA,8503,16011,1038,NA,NA,25552,1.67209967355881
"162",107,"Coho","Akwe River","Southeast",1,1986,11800,NA,5651,11206,506,NA,NA,17363,0.386241973890382
"168",107,"Coho","Akwe River","Southeast",1,1972,9333,NA,2266,4830,3545,NA,NA,10641,0.131157957875985
"169",107,"Coho","Akwe River","Southeast",1,1973,4000,NA,2701,26143,2465,NA,NA,31309,2.05761123503063
"170",107,"Coho","Akwe River","Southeast",1,1974,6667,NA,14623,18177,1589,NA,NA,34389,1.64056676216506
"171",107,"Coho","Akwe River","Southeast",1,1975,2933,NA,10167,11720,1741,NA,NA,23628,2.08640665944968
"172",107,"Coho","Akwe River","Southeast",1,1976,2000,NA,6555,12843,1526,NA,NA,20924,2.34774964494842
"173",107,"Coho","Akwe River","Southeast",1,1977,20000,NA,7183,11252,829,NA,NA,19264,-0.0374942044275805
"174",107,"Coho","Akwe River","Southeast",1,1978,9333,NA,6293,13816,228,NA,NA,20337,0.778885380533329
"175",107,"Coho","Akwe River","Southeast",1,1979,4000,NA,12987,12087,0,NA,NA,25074,1.83553709157394
"176",107,"Coho","Akwe River","Southeast",1,1980,6667,NA,10491,12097,1547,NA,NA,24135,1.28649308547653
"177",107,"Coho","Akwe River","Southeast",1,1981,6667,NA,6514,7347,2098,NA,NA,15959,0.872852949781126
"178",107,"Coho","Akwe River","Southeast",1,1982,4000,NA,3996,15473,4211,NA,NA,23680,1.77833644889591
"179",107,"Coho","Akwe River","Southeast",1,1983,8000,NA,8655,11868,3794,NA,NA,24317,1.11173415254609
"180",107,"Coho","Akwe River","Southeast",1,1984,3733,NA,3063,15719,1622,NA,NA,20404,1.69851876012823
"181",107,"Coho","Akwe River","Southeast",1,1985,3200,NA,7588,13790,874,NA,NA,22252,1.93928108240737
"182",107,"Coho","Akwe River","Southeast",1,1986,7867,NA,4867,9441,408,NA,NA,14716,0.626258541895423
"188",108,"Coho","East Alsek River","Southeast",1,1972,1500,NA,1899,2177,377,NA,NA,4453,1.0881129182314
"189",108,"Coho","East Alsek River","Southeast",1,1973,300,NA,3049,3579,753,NA,NA,7381,3.20288193511385
"190",108,"Coho","East Alsek River","Southeast",1,1974,3000,NA,5014,7150,340,NA,NA,12504,1.42743630445107
"191",108,"Coho","East Alsek River","Southeast",1,1975,1500,NA,10017,3232,281,NA,NA,13530,2.19944433407453
"192",108,"Coho","East Alsek River","Southeast",1,1976,2200,NA,4528,2674,901,NA,NA,8103,1.30377700311432
"193",108,"Coho","East Alsek River","Southeast",1,1977,2000,NA,3746,8555,373,NA,NA,12674,1.84640547034138
"194",108,"Coho","East Alsek River","Southeast",1,1978,4500,NA,11986,6471,0,NA,NA,18457,1.41136630554888
"195",108,"Coho","East Alsek River","Southeast",1,1979,1500,NA,5600,6178,0,NA,NA,11778,2.06076827641421
"196",108,"Coho","East Alsek River","Southeast",1,1980,2000,NA,7862,3052,1255,NA,NA,12169,1.80574455379472
"197",108,"Coho","East Alsek River","Southeast",1,1981,7200,NA,27466,16319,593,NA,NA,44378,1.81866282512222
"198",108,"Coho","East Alsek River","Southeast",1,1982,3200,NA,24269,3640,1207,NA,NA,29116,2.20813704145033
"199",108,"Coho","East Alsek River","Southeast",1,1983,3000,NA,4233,5086,2432,NA,NA,11751,1.36532605468369
"200",108,"Coho","East Alsek River","Southeast",1,1984,8000,NA,2328,14939,454,NA,NA,17721,0.795308835313372
"201",108,"Coho","East Alsek River","Southeast",1,1985,13000,NA,17372,4429,273,NA,NA,22074,0.529451087889156
"202",108,"Coho","East Alsek River","Southeast",1,1986,2200,NA,6473,5318,129,NA,NA,11920,1.68976030127293
"203",108,"Coho","East Alsek River","Southeast",1,1987,1300,NA,8045,1994,1262,NA,NA,11301,2.16252695291052
"204",108,"Coho","East Alsek River","Southeast",1,1988,5500,NA,4309,11986,1059,NA,NA,17354,1.14907493513287
"205",108,"Coho","East Alsek River","Southeast",0,1989,2000,NA,16793,10057,NA,NA,NA,26850,2.59711864039493
"206",108,"Coho","East Alsek River","Southeast",0,1990,2800,NA,14090,NA,NA,NA,NA,14090,1.61584590872943
"215",108,"Coho","East Alsek River","Southeast",1,1972,6000,NA,4414,4810,629,NA,NA,9853,0.496016508112283
"216",108,"Coho","East Alsek River","Southeast",1,1973,1200,NA,6739,5973,1320,NA,NA,14032,2.45901887883587
"217",108,"Coho","East Alsek River","Southeast",1,1974,12000,NA,8368,12536,529,NA,NA,21433,0.580025140566995
"218",108,"Coho","East Alsek River","Southeast",1,1975,6000,NA,17563,5028,533,NA,NA,23124,1.34911156999217
"219",108,"Coho","East Alsek River","Southeast",1,1976,8800,NA,7044,5068,1808,NA,NA,13920,0.458574933422113
"220",108,"Coho","East Alsek River","Southeast",1,1977,8000,NA,7100,17174,661,NA,NA,24935,1.13683089731825
"221",108,"Coho","East Alsek River","Southeast",1,1978,18000,NA,24060,11463,0,NA,NA,35523,0.679808616120765
"222",108,"Coho","East Alsek River","Southeast",1,1979,6000,NA,9920,10138,0,NA,NA,20058,1.20686860743796
"223",108,"Coho","East Alsek River","Southeast",1,1980,8000,NA,12902,5452,2425,NA,NA,20779,0.954501319637907
"224",108,"Coho","East Alsek River","Southeast",1,1981,28800,NA,49066,31529,1055,NA,NA,81650,1.04206643227457
"225",108,"Coho","East Alsek River","Southeast",1,1982,12800,NA,46889,6478,1753,NA,NA,55120,1.46006745577983
"226",108,"Coho","East Alsek River","Southeast",1,1983,12000,NA,7533,7387,3587,NA,NA,18507,0.433242389107611
"227",108,"Coho","East Alsek River","Southeast",1,1984,32000,NA,3381,22034,694,NA,NA,26109,-0.20345582032424
"228",108,"Coho","East Alsek River","Southeast",1,1985,52000,NA,25622,6769,441,NA,NA,32832,-0.459840069033123
"229",108,"Coho","East Alsek River","Southeast",1,1986,8800,NA,9893,8594,243,NA,NA,18730,0.755374794971836
"230",108,"Coho","East Alsek River","Southeast",1,1987,5200,NA,13001,3761,1728,NA,NA,18490,1.26857141981165
"231",108,"Coho","East Alsek River","Southeast",1,1988,22000,NA,8128,16415,2256,NA,NA,26799,0.197322120029496
"232",108,"Coho","East Alsek River","Southeast",0,1989,8000,NA,22998,21428,NA,NA,NA,44426,1.71438334195559
"233",108,"Coho","East Alsek River","Southeast",0,1990,11200,NA,30021,NA,NA,NA,NA,30021,0.98598335847538
"242",108,"Coho","East Alsek River","Southeast",1,1972,3000,NA,2737,3054,461,NA,NA,6252,0.734289123891121
"243",108,"Coho","East Alsek River","Southeast",1,1973,600,NA,4279,4377,942,NA,NA,9598,2.77238036720204
"244",108,"Coho","East Alsek River","Southeast",1,1974,6000,NA,6132,8945,403,NA,NA,15480,0.947789398933526
"245",108,"Coho","East Alsek River","Southeast",1,1975,3000,NA,12532,3831,365,NA,NA,16728,1.71847167345822
"246",108,"Coho","East Alsek River","Southeast",1,1976,4400,NA,5367,3472,1203,NA,NA,10042,0.825171756688298
"247",108,"Coho","East Alsek River","Southeast",1,1977,4000,NA,4864,11428,469,NA,NA,16761,1.43276039802523
"248",108,"Coho","East Alsek River","Southeast",1,1978,9000,NA,16011,8135,0,NA,NA,24146,0.986894157573976
"249",108,"Coho","East Alsek River","Southeast",1,1979,3000,NA,7040,7498,0,NA,NA,14538,1.57815362239433
"250",108,"Coho","East Alsek River","Southeast",1,1980,4000,NA,9542,3852,1645,NA,NA,15039,1.32435246582959
"251",108,"Coho","East Alsek River","Southeast",1,1981,14400,NA,34666,21389,747,NA,NA,56802,1.37234332979285
"252",108,"Coho","East Alsek River","Southeast",1,1982,6400,NA,31809,4586,1389,NA,NA,37784,1.77558774222819
"253",108,"Coho","East Alsek River","Southeast",1,1983,6000,NA,5333,5853,2817,NA,NA,14003,0.847512123145585
"254",108,"Coho","East Alsek River","Southeast",1,1984,16000,NA,2679,17304,534,NA,NA,20517,0.248665088544287
"255",108,"Coho","East Alsek River","Southeast",1,1985,26000,NA,20122,5209,329,NA,NA,25660,-0.0131631788339917
"256",108,"Coho","East Alsek River","Southeast",1,1986,4400,NA,7613,6410,167,NA,NA,14190,1.17093295024774
"257",108,"Coho","East Alsek River","Southeast",1,1987,2600,NA,9697,2583,1417,NA,NA,13697,1.66166538572525
"258",108,"Coho","East Alsek River","Southeast",1,1988,11000,NA,5582,13463,1458,NA,NA,20503,0.622675944102539
"259",108,"Coho","East Alsek River","Southeast",0,1989,4000,NA,18861,13847,NA,NA,NA,32708,2.10132533517984
"260",108,"Coho","East Alsek River","Southeast",0,1990,5600,NA,19400,NA,NA,NA,NA,19400,1.24250646832818
"269",108,"Coho","East Alsek River","Southeast",1,1972,2000,NA,2178,2469,405,NA,NA,5052,0.926637023928299
"270",108,"Coho","East Alsek River","Southeast",1,1973,400,NA,3459,3845,816,NA,NA,8120,3.01062088604774
"271",108,"Coho","East Alsek River","Southeast",1,1974,4000,NA,5387,7748,361,NA,NA,13496,1.21609898412378
"272",108,"Coho","East Alsek River","Southeast",1,1975,2000,NA,10855,3432,309,NA,NA,14596,1.98760033801426
"273",108,"Coho","East Alsek River","Southeast",1,1976,2933,NA,4808,2940,1001,NA,NA,8749,1.09291361812881
"274",108,"Coho","East Alsek River","Southeast",1,1977,2667,NA,4119,9513,405,NA,NA,14037,1.66074245535231
"275",108,"Coho","East Alsek River","Southeast",1,1978,6000,NA,13328,7026,0,NA,NA,20354,1.22151798354168
"276",108,"Coho","East Alsek River","Southeast",1,1979,2000,NA,6080,6618,0,NA,NA,12698,1.84829732018831
"277",108,"Coho","East Alsek River","Southeast",1,1980,2667,NA,8422,3319,1385,NA,NA,13126,1.59364075085165
"278",108,"Coho","East Alsek River","Southeast",1,1981,9600,NA,29867,18009,644,NA,NA,48520,1.62021298560206
"279",108,"Coho","East Alsek River","Southeast",1,1982,4267,NA,26782,3956,1268,NA,NA,32006,2.01501238101794
"280",108,"Coho","East Alsek River","Southeast",1,1983,4000,NA,4600,5342,2560,NA,NA,12502,1.13959427038973
"281",108,"Coho","East Alsek River","Southeast",1,1984,10667,NA,2445,15728,481,NA,NA,18654,0.558905736661326
"282",108,"Coho","East Alsek River","Southeast",1,1985,17333,NA,18288,4689,291,NA,NA,23268,0.294466827089342
"283",108,"Coho","East Alsek River","Southeast",1,1986,2933,NA,6854,5682,141,NA,NA,12677,1.46376353796128
"284",108,"Coho","East Alsek River","Southeast",1,1987,1733,NA,8595,2190,1314,NA,NA,12099,1.94326879382587
